author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,,helpful_votes,total_review,visibility_status,ranking
Rhonda,/gp/profile/amzn1.account.AFEAA7FJ3AFG2YR6SM37SJMDD4PQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 6, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews,5.0 out of 5 stars,Very addicting. I can hardly wait until I get new lives and see what the next challenge is. Enjoy it.,Addicting,Verified Purchase,One person found this helpful,,,13,49,Public,13161380
D. Blocker,/gp/profile/amzn1.account.AH46LNGSIYVMVROOA5C7T23P2O3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 5, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews,5.0 out of 5 stars,This game is fun and very addictive.  You can play for ever but once you fail to reach the level you will keep trying to complete the  level by either losing lives or purchasing  moves.,Wow,Verified Purchase,One person found this helpful,,,3,9,Public,25938285
Horejs,/gp/profile/amzn1.account.AE52KEJJKZ3AATZMASZ7SWEDJK7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 16, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews,4.0 out of 5 stars,fun and challenging at the same time. I love spending tons of money to pass levels that I could not do otherwise!,fun,Verified Purchase,One person found this helpful,,,1,5,Public,52157325
Kindle Customer,/gp/profile/amzn1.account.AFTZU7FWWEOIQESBPRVBWTB5YJVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 10, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews,5.0 out of 5 stars,Love how challenging it is but also fun to play,awesome,Verified Purchase,,,,15,27,Public,10875469
Seems no one that ever like it.IT is not to be pla,/gp/profile/amzn1.account.AE6APLG4FM6HQGEDN7PWHHYOAQPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 25, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews,4.0 out of 5 stars,I love this game with the exception of having to wait so long for more lives and the fact you guys raised the number if bars required to do things,good game,Verified Purchase,One person found this helpful,,,1,3,Public,65641259
Kenneth,/gp/profile/amzn1.account.AFGXJYQ57TDWBJTXIPCHX7EL6H6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 10, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews,5.0 out of 5 stars,iam hooked on this game,Five Stars,Verified Purchase,,,,418,541,Public,126873
inezvaldez,/gp/profile/amzn1.account.AF376FWQQ53BPXYUJZ6AF6FWFPGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 1, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews,5.0 out of 5 stars,Really fun,Five Stars,Verified Purchase,,,,45,44,Public,24972246
R. Scharnagl,/gp/profile/amzn1.account.AFEHZR5ESNEUXFG7MAS7NMPR6WRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 31, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews,5.0 out of 5 stars,A definite time waster and so much fun,Addictive!,Verified Purchase,,,,28,33,Public,82602387
E Jones,/gp/profile/amzn1.account.AF6WAKDK6HLLJKKJCZSORG2UFGLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 5, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews,5.0 out of 5 stars,I love the fact that my addiction has been made available on kindle! everything seems to be working like my mobile app.,kindle has candy crush... finally!,Verified Purchase,,,,3,25,Public,10011593
anthony,/gp/profile/amzn1.account.AFL54WSSWSCR5XMOI6VGLWUNMF4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 16, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews,1.0 out of 5 stars,play candy swipe candy chursh is fighting to take it off the markit it came frist and the game maker made it in memoery of his late mother,thief,Verified Purchase,3 people found this helpful,,,27,21,Public,26522847
Shell y in TN,/gp/profile/amzn1.account.AFKTEPKZNMD7S4BVWAQK4EA46XMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 6, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews,2.0 out of 5 stars,I hate waiting for lives and not gonna pay for them other wise lots and  lots of super funHave fun,fun but......,Verified Purchase,,,,16,21,Public,10560469
C. Grob,/gp/profile/amzn1.account.AG7YTREZYC7NSTRP7H4765BHLSPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 6, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews,5.0 out of 5 stars,Help. I can't stop playing this silly game. Really pretty fun but then the chocolate comes for you.  Starts to get a little stressful then.,Addicting!,Verified Purchase,One person found this helpful,,,10,10,Public,58111550
mix6,/gp/profile/amzn1.account.AGKFEGZ26O7MTZL53R7BXHEJICMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 25, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews,5.0 out of 5 stars,keeps your attention and a lot of fun,Five Stars,Verified Purchase,,,,10,41,Public,5632920
Kindle Customer,/gp/profile/amzn1.account.AGW3ST54WPMYL6CEKRSCS5J3S4KA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 23, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews,5.0 out of 5 stars,good,Five Stars,Verified Purchase,,,,527,366,Public,1920299
Samantha Elenich,/gp/profile/amzn1.account.AH3QSYGGO3VHHLDKKKVU4RQVYIPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 17, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews,4.0 out of 5 stars,"Passes the time, however waiting or having to buy new lives is seriously annoying since it is so addictive. Fun overall, though.",Addictive,Verified Purchase,,,,33,33,Public,2669038
Nightwing,/gp/profile/amzn1.account.AH5ZM33PVNBWHPKJYYDEQAUX6LGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 7, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews,4.0 out of 5 stars,This is a fun game.  It could be addictive. It is very colorful.  I would rather not have to go to Facebook to ask friends for lives if I need them.,Fun Game!,Verified Purchase,,,,12,15,Public,42571758
PamA,/gp/profile/amzn1.account.AF7IV7U3IUMDM25TAXLYA2MT5UBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 2, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews,5.0 out of 5 stars,This is a very fun game to fill time... And I do fill more time than I should playing : /,I love this game,Verified Purchase,,,,43,77,Public,6723128
Robert C. Bostwick,/gp/profile/amzn1.account.AF7SK335WUGBHDEUQRCQDE4SZLRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 18, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews,4.0 out of 5 stars,I like this game but it's a little slow.,Great game.,Verified Purchase,,,,83,199,Public,2120851
Unhappy,/gp/profile/amzn1.account.AFUGAFJ6RSXBFEY22YVQI7UEYO6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 24, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews,5.0 out of 5 stars,I am so very... In love with this game... It's very challenging and it tests your patience haha (: I gave it five because it works well even without internet service,love it!,Verified Purchase,One person found this helpful,,,3,5,Public,61222043
karla simon,/gp/profile/amzn1.account.AGLXBN5VZ34RXU7GNWPTHKUMIGBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 19, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews,5.0 out of 5 stars,I love this game it is so cooooooool!!!!!!! And also addicting finally in kindle fire tablet and you can play and see who is the best on Facebook friends that have candy crush but it is pretty hard to pass some levels,so cool,Verified Purchase,One person found this helpful,,,1,12,Public,25725338
mary trendle,/gp/profile/amzn1.account.AEO6F4BHCDFK5RDPG2ODJEIRDOKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 1, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews,5.0 out of 5 stars,A lot of strategy is involved in this game.  It is really addictive fun.  So glad it finally came to Kindle!,challenging and fun,Verified Purchase,One person found this helpful,,,30,32,Public,4136154
kristie whited,/gp/profile/amzn1.account.AEOASUG3SB4XC676JYKFJAMO2HMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 1, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews,5.0 out of 5 stars,Love it and hate it. Gets progressively harder but am soo addicted to it.,Five Stars,Verified Purchase,,,,63,17,Public,27583631
Suezy Smith,/gp/profile/amzn1.account.AEMV5C66OKNAIFSAUO2RAVZOPY7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 29, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews,3.0 out of 5 stars,I suppose I have not learned the technique of the game yet.  I will keep trying but I do not think the directions are explicit enough.,Candy Crush Saga,Verified Purchase,,,,8,21,Public,64198916
judith zebrowski,/gp/profile/amzn1.account.AGXZ5WAHFVWZANOOKEPADAI736RQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 15, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews,4.0 out of 5 stars,I enjoy playing this game !!!! :) I have this game on my phone and my tablet so I can play anytime !!,Awesome,Verified Purchase,,,,12,22,Public,14953386
Chris330r,/gp/profile/amzn1.account.AHBQNXZZCNFHQ2D7ONUQFEG4HX2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 28, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews,5.0 out of 5 stars,Over fun and addicting game. I'm on level 68 and having a blast!,addicting,Verified Purchase,,,,1091,309,Public,14603
Willie Weaver,/gp/profile/amzn1.account.AGQLXEBIHNTVHF3CYRFC2FJCFFDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 23, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews,4.0 out of 5 stars,"Never played until now. Truly enjoy, especially the link to other friends who play.","Truly enjoy, especially the link to other friends who play",Verified Purchase,,,,18,13,Public,82530427
RVW,/gp/profile/amzn1.account.AFCKZWBACB3PT3ZSJSFRUTXOLPAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 13, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews,4.0 out of 5 stars,Love this game but can't get it to be able to pass levels fast. Was stuck on a level for over sixty days.,great game,Verified Purchase,,,,23,32,Public,82613713
Lysette wood,/gp/profile/amzn1.account.AEVJLA7TCXWUEWXYULPFEHMIBT2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 3, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews,5.0 out of 5 stars,Love candy crush!,Five Stars,Verified Purchase,,,,46,43,Public,15088732
Kindle Customer,/gp/profile/amzn1.account.AELSKN6BPA6TVHEVO3CZG37NJYHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 3, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews,4.0 out of 5 stars,Challenging to try and beat friends and relatives,addictive,Verified Purchase,,,,67,40,Public,2757388
Amazon Customer,/gp/profile/amzn1.account.AH7UL6YH5WHDW4LU2Y45R6LUGHDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 17, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,5.0 out of 5 stars,This app is really awesome. It is seriously so much fun. I love it. I only wish they would not constantly try to get you to buy stuff though.,so fun!,Verified Purchase,,,,23,14,Public,61384858
cool i luv it,/gp/profile/amzn1.account.AH2R2NWTXIJTHXOQKK64HYGI3HWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 25, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,4.0 out of 5 stars,This is one of the best apps I have ever had and it is very addictive. It is easiest with Facebook.,great,Verified Purchase,,,,23,15,Public,54461003
Christine B,/gp/profile/amzn1.account.AGUY3SK7U2EA242SKGJYMBFHXNTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 21, 2016",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,5.0 out of 5 stars,Entertaining,Entertaining,Verified Purchase,,,,13,84,Public,2191627
Donna Avagliano,/gp/profile/amzn1.account.AFJKBXUU7KVPB6WG7STDUWZWYYHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 6, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,3.0 out of 5 stars,"It is so addictive and I love to play the game; however, I do believe it is ridiculous to have a person stay on a level for weeks because the level is so hard to win. I know a lot have stopped playing because of this reason and I'm thinking about finding another game for the same reason. Staying on a level for more than two or three days is crazy and makes playing the game not fun.",Didn't get a 5 star because of staying on certain levels for weeks.,Verified Purchase,4 people found this helpful,,,33,31,Public,3101048
Monica A Eckenrode,/gp/profile/amzn1.account.AEQALMLT37FGKXESASXQRRHV3VGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 17, 2016",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,5.0 out of 5 stars,Love this game.  We have a competition going on in house to see who is beating each other.,addictive,Verified Purchase,2 people found this helpful,,,10,27,Public,3189689
jeanne  love this game. love the variety.,/gp/profile/amzn1.account.AEGPZBIVTMGQMMZQ5EHWHIHYFLGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 6, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,4.0 out of 5 stars,I love this game but I hats it when I run out of time - or lives. very frustrating. don't need frustration.,very fun,Verified Purchase,,,,8,19,Public,17260579
Cindy Nasso,/gp/profile/amzn1.account.AFUQIKBZJILAYS6XDQ4HMBB5YVRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 5, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,5.0 out of 5 stars,"I love playing the game, no clue how to give life's  and or get live's, does it cost money ???  HELP",Cindy's Opinion,Verified Purchase,,,,3,20,Public,33137043
b,/gp/profile/amzn1.account.AFNY6XFDLDN7P3TZDDSBNEMJZK4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 9, 2016",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,5.0 out of 5 stars,100%,Five Stars,Verified Purchase,One person found this helpful,,,4,21,Public,30184752
sheila whistler,/gp/profile/amzn1.account.AEBRK25CX5QJNZCFI7WMLYJVTYNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 26, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,5.0 out of 5 stars,I had tried other app stores but was not happy with them. I am with Amazon's,Love this game !,Verified Purchase,,,,6,51,Public,5559023
gloria this is a good bingo. love it.,/gp/profile/amzn1.account.AEC6TKOVW6ITZ5QK37ZCFPWKM63A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 22, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,5.0 out of 5 stars,How much is it to buy this game?,candy cruse saga,Verified Purchase,,,,62,69,Public,37859516
Thomas L. Neal Sr.,/gp/profile/amzn1.account.AGRQ3VWF2JRMFKXJGE5LE7TKMHMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 22, 2016",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,5.0 out of 5 stars,CHALLENGING AND ADDICTIVE!,A Great Puzzle Game,Verified Purchase,,,,15,36,Public,11223260
j bolin,/gp/profile/amzn1.account.AHWUDT7WXR2HT5Z7XCWVRFPIOW4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 23, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,5.0 out of 5 stars,"Now that I've played this, I understand the 'hype' a lot better!  It's wonderful and frustrating all at the same time.",Now I understand . . .,Verified Purchase,,,,6,15,Public,45052369
Kindle Customer,/gp/profile/amzn1.account.AGKF6KVWPXGCMHWHIQV2PKKYB5PQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 4, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,4.0 out of 5 stars,Beware you will find yourself addicted soon. Fabulous time waster to while away the minutes between apps and whatnot. Get it.,addictive fun,Verified Purchase,,,,33,20,Public,18761009
gcrooks71,/gp/profile/amzn1.account.AFKRBWKCAVJT5M7IRJXURE2GF54Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 28, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,2.0 out of 5 stars,Too many obstacles and not enough lives to use.  Should be unlimited amount of lives.,Two Stars,Verified Purchase,,,,18,34,Public,
Alex LeDoux,/gp/profile/amzn1.account.AGAXQETTSUXOQG3JVJ7VCT2WRMMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 20, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,5.0 out of 5 stars,This addictive game is finally available for the kindle! Now I can ignore even more social interactions and adult responsibilities for candy crush saga.,Finally!,Verified Purchase,,,,9,29,Public,3643310
karend16,/gp/profile/amzn1.account.AHWSMZ3FDFCIQ7WAHQODZEWOZHCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 2, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,5.0 out of 5 stars,Finally i can play my favorite game ever!!!!!!  I am so happy i already beat 3 levels in one night and need help to board!,THANK YOU,Verified Purchase,,,,39,29,Public,12540491
April Carter,/gp/profile/amzn1.account.AGB4O4QRS6SFUXZTEJNCAAYC426A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 4, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,5.0 out of 5 stars,My downtime is spent cruising through the levels using this game to unwind from long stressful days. Love this game!,great fun,Verified Purchase,One person found this helpful,,,1,5,Public,57793108
S. G. Johnson,/gp/profile/amzn1.account.AEP3MZKDP266DL6DZ262M2NJKG3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 6, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,5.0 out of 5 stars,"This game has managed to do what other games have failed to do for me: hold my attention, relax me,  and keep me wanting more. It's a game for the whole family to enjoy! #CantGetEnough",Yummy for Candy Crush!,Verified Purchase,,,,423,10,Public,15159978
April,/gp/profile/amzn1.account.AEKHDXVTF7TNAUX653YPCJPJ4ZZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 31, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,5.0 out of 5 stars,"I LOVE Candy Crush! Sometimes it's not convenient to play it on FB, and the app on my Droid locks up. This app on my Kindle never locks up. Thank you for finally bringing this game to Kindle! I've been playing for at least a week without a single problem. I'm so happy! I've got to get back to crushing candy!",It's about time!,Verified Purchase,,,,3,6,Public,26209138
cynthia d kirk,/gp/profile/amzn1.account.AHMRAT7MFARGNMUNWTCU7OMJWQEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 31, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,4.0 out of 5 stars,Nice challenges,good graphics,Verified Purchase,One person found this helpful,,,109,46,Public,2679778
Margie Beskau,/gp/profile/amzn1.account.AEMX32EQ7ZROXE7LWT3PVEJZ3HNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 8, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,5.0 out of 5 stars,I love this game. It is terribly addicting. The colors and graphics are great. Now I see what all the fuss is about.,addicting,Verified Purchase,2 people found this helpful,,,73,26,Public,45859226
Amazon Customer,/gp/profile/amzn1.account.AESLOCUZYIPHERRHEDAMFYKPUR7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 22, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,5.0 out of 5 stars,Waited for this to come out for kindle.Glad I can play it on kindle  play it with my Facebook friends.,Love the game.  Was not at all what I was expecting.  Enjoy sitting done to play. Would suggest it to everyone.,Verified Purchase,,,,20,28,Public,4256684
daniel,/gp/profile/amzn1.account.AGFHIH2DVXHPQ6VLY2QVN7GAICUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 18, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,5.0 out of 5 stars,This game right here is the best game ever. It is so fun it will knock your socks off. Prepare to have your mind blown. It is very addictive like fast food french fries.,best game ever,Verified Purchase,One person found this helpful,,,1,4,Public,65658789
