author,author_profile_url,date_of_review,image_num,num_of_comments,rating,review_content,title,verified,votes_helpful,,helpful_votes,total_review,visibility_status,ranking
S. Lewis,/gp/profile/amzn1.account.AEYYXCMFGIDDY3OKI4CEIMGCTCOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 9, 2021",0,,5.0 out of 5 stars,"When a note gets delivered to the door by a student who says they were paid $20 to deliver it to her, Hannah is confused.  Why would her husband pay a student to deliver a cryptic note that only reads "" Protect her""? As the day wears on and Hannah remains unable to get in touch with Owen, a story breaks - the place Owen worked at was raided and they are in the process of rounding up the employees and taking them into custody.  U.S. Marshalls arrive at Hannah's door looking for Owen and Hannah receives another shock - Owen isn't who he says he is.  Hannah & Owen's teenage daughter Bailey go on a fact-finding mission to try to discover the truth to who Owen really is and why he left them completely unaware.I had heard so much about this book that I was eager to read it, and let me tell you - it is definitely worth all of the hype.  I couldn't put it down.  I had no idea where they were going to go with the story and was completely surprised with how it all worked out.  It is an emotional story with likeable characters, a lot of suspense and a captivating storyline that will keep you glued to your seat until the very end.  I highly recommend this one!",Definitely worth the hype,,One person found this helpful,,216,419,Public,71838
Holly,/gp/profile/amzn1.account.AFNI2XL7XGSKYKKM2E6OG7TFB4EQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 9, 2021",0,,5.0 out of 5 stars,"The Last Thing He Told Me by Laura Dave is an extremely well written suspense novel that grabbed by attention from the first words.  Under incredibly odd circumstances, Hannah receives a two word note from her husband Owen.  ""Protect her"" is all the note says.  She immediately realizes that ""her"" refers to her 16 year old step-daughter Bailey.  What she didn't realize is that this note would be the last communication she'd ever receive from her husband.  Not knowing who to trust, Hannah and Bailey form a tentative bond to search out Owen's past while trying to forge their own future.The story is told in both present tense and flashbacks.  Hannah had only known Owen a couple years prior to his disappearance but she thought she knew him.  As she tries to untangle his secrets, the flashbacks show instances where Hannah could have interpreted the situations in multiple ways.  In hindsight, she realizes she chose the easy route - to accept Owen as he presented himself instead of digging deeper.  Will she make the right decision and be able to protect Bailey?  Guarantee you will enjoy finding out!",Fantastic book,,One person found this helpful,,148,158,Public,218448
Stellagirl,/gp/profile/amzn1.account.AE365EN2BTWMGVKHCGZWXHQWD4PA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 30, 2021",0,,2.0 out of 5 stars,"The opening is compelling and engaging. The characters, not so much. Protagonist Hannah is cast as very precious because she's a ""woodturner,"" ie she crafts ultra expensive wood furniture for the rich and she's been featured in Architectural Digest. The implication is that she's an artist and thus more special than if she worked in high tech or was a teacher.Hannah prizes protecting the teen stepdaughter's future plans as if the girl's life would somehow be ruined if she had to start over. Yes it would be a hardship but life is full of hardships.  Then most absurd of all, Hannah takes it upon herself to fashion a deal permitting Hannah and stepdaughter to live happily ever after, with daughter being in touch with her long last maternal extended family.  And the price? Daughter will never again see her beloved dad who has raised her singlehandedly.  Why in the world would daughter trade her beloved dad for the opportunity to get to know her crooked, albeit rich, grandfather.This will make a nice made for TV movie, the kind you watch and forget tomorrow. It could be so much better ...",Absurdly implausible and ridiculously pretentious,,One person found this helpful,,262,95,Public,595711
kathleen g,/gp/profile/amzn1.account.AF35564CAWXR67LRE2C2YVX36KHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 4, 2021",0,,5.0 out of 5 stars,"You've undoubtedly read other novels where the new husband disappears but trust me- this one is different.  Hannah has only been married to Owen for two years.  She moved her woodturning business to Sausalito, does her best to be a stepmother to 16 year old Bailey, and thinks all is well.  Until.  Until Owen doesn't come home, the owner of his company is arrested on fraud charges, and Bailey discovers a gym bag full of cash in her locker.  Owen has left both Hannah and Bailey notes but they don't help, nor does the Deputy US Marshall who turns up, or the FBI agents.  Turns out Owen isn't Owen, and Bailey isn't Bailey but who are they?  Hannah and Bailey head to Austin, Texas, where they think there might be answers.  No spoilers from me but the twists were very unexpected.  I liked this not only for the writing and the plot but also for the characters- the relationship between Hannah and Bailey rang so true.  Thanks to the publisher for the ARC.  A real page turner and a great read.",it's not what you think.....,,One person found this helpful,,9157,6509,Public,138
Lynn,/gp/profile/amzn1.account.AHQ7TVRE7OUV5KIPS334DJ6NKRIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 5, 2021",0,,5.0 out of 5 stars,"When Hannah is handed a note that says, “protect her”, she does just that. Her husband Owen has gone missing, she is left with her stepdaughter Bailey, a teenager with an attitude, and Hannah must find to a way to figure out what just happened. She is on rocky ground with Bailey, but vows to do whatever it takes to keep her safe. When the Marshalls and FBI come knocking, and Hannah does not know who to trust, she has one choice and that is to run. When she finds out that her husband really is not who he said he was, she trusts her instincts and gets deeper into the web of deceit. Will Hannah end up trusting the authorities, or will she turn to the one man who has the power to destroy them but also the power to keep them safe.This was such an amazing story. I loved the relationship between Hannah and Bailey and how they had to learn to trust each other to find out what really happened to Owen. As much as the story was about the disappearance of Owen, it was about a relationship between a stepmother and daughter. There were many surprises along the way as the mystery unravels which I loved. I could not put this book down. Laura Dave is a new author for me, but I will definitely be picking up her other novels to read as I adored her writing style. My thanks to Simon & Schuster Publishing, Netgalley and Laura Dave for an advanced copy of the book to read and review in exchange for my honest opinion.",A fabulous suspense,,2 people found this helpful,,296,243,Public,48038
Darcie Nunes,/gp/profile/amzn1.account.AFDUYXOHNIC7NAM5N3HH7TVOKINQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 21, 2021",0,,2.0 out of 5 stars,"I tried finishing this book because I found the story interesting however the writing style prevented me from finishing. I simply could not take it an audio form. The way it was written after every other sentence she would say “he said and she said”after every other sentence became very annoying and very distracting. I started saying “he said” “she said” along with the narrator  cause I knew she was going to say it after every sentence. What else was annoying was the way she would repeat the same word three times every sentence, this just got on my nerves.  I could no longer listen because it was actually making me angry to do so. I gave up towards the end of this book and I’ll never know what happened because I couldn’t get through that annoying writing style to finish it.",Annoying writing style,,3 people found this helpful,,33,31,Public,5969212
Angus,/gp/profile/amzn1.account.AHO3CZSN3GWLBN3ZF5VUYKS7QCUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 22, 2021",0,,2.0 out of 5 stars,"This book gets more wrong than the geography of Austin (you can't step out of Antone's and cross the street and be on Congress Avenue). There is a slim mystery on the periphery of this book, but at its heart it is the story of a woman desperately trying to win over her step-daughter. No thrills or chills or scary sequences. Just a few visits by law enforcement and a few references to unseen powerful people who may or may not be angry at either of the central characters. Shockingly dull and pointless, with only the outline of an interesting character, one who seems to have not much in the way of an internal life. The things the book has going for it include a beginning, a middle, and something like an end, and a few interesting settings (a houseboat in Sausalito, Austin, Texas). I wondered if the book was ever going to pick up the pace and considered quitting, but realized I was three quarters of the way through, so I figured there would be a payoff at the end. There wasn't. The climax of the book is a simple conversation. Dull as dishwater. If you think finally being called ""mom"" as the literal last word of the book counts as some type of profound payoff, then maybe you will get more out of this than I did.",Baffled by the reviews. Not a thriller. A trite step-family drama with no payoff. Mild spoilers,,2 people found this helpful,,720,44,Public,465581
Samantha,/gp/profile/amzn1.account.AHVO7CRCEZB47OJ37SLIKLRGC3KA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 10, 2021",1,,4.0 out of 5 stars,"A truly special thank you to the author, Simon & Schuster and NetGalley for the review copy! This book was so good and I couldn’t put it down!Before Hannah’s husband disappears he manages to get a note to her, a note with 2 words “Protect Her”; referring to his teenage daughter. That’s the last time she hears from him. Shocked, stunned and bewildered she searches their house and her stepdaughters mind for any ideas as to what and why he has disappeared. Which leads them on a wild goose chase to to Austin, Texas where they discover more than they thought they would.The mystery, the characters and the storyline make this a really terrific read. The reviews are stunning for a reason, it’s a really great story. It’s super easy to read and keep up with. The characters don’t disappear into one another but, instead are kept simple, which I love. The end meaning is simple, you don’t have to physically have a child to love and protect them fiercely. Definitely worth picking up!",Protect Her..but how and why?,,3 people found this helpful,,20,105,Public,887846
Paula,/gp/profile/amzn1.account.AGPOFW7POBMGAR66EOISBOL2QT2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 3, 2021",0,,5.0 out of 5 stars,"What a book.  If you want a husband and wife drama you are in the right place!  Buckle up and get ready.  I read this one in less than 24 hours.Hanna has been married to Owen a little over a year when everything falls apart.  He goes to work one day and doesn't come home.  However, he does have a teenage girl drop a note off to Hannah saying ""protect her"".  Hannah assumes correctly that he must be talking about his sixteen year old daughter, Bailey.Soon Hanna finds out everything she thought she knew no longer seems to be true.  Instead of laying down and feeling sorry for herself she grabs Bailey (who has never made their relationship easy), and doubles down.What will she find?  Will it lead her back to Owen, or further away?Grab this one today, it's one of the best this year!",ONE OF THE BEST OF 2021,,One person found this helpful,,20,82,Public,936141
Debra Dowling,/gp/profile/amzn1.account.AGKAQMN67BCEJ7TUO2EQWIJB6FOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 6, 2021",0,,5.0 out of 5 stars,"Wow, gripped me from the first page and I couldn't put it down.  Lots of twists and turns that kept me turning the page all night.Hannah and Owen have been married a few years, living on a house boat in Sausalito with Owen's teenage daughter, Bailey.  Bailey and Hannah have a rather rocky relationship, and Hannah is always trying to bring them together.One day all their lives change forever.  The company Owen works for is raided, the higher ups are being sent to prison, and Owen has disappeared.  He leaves a cryptic note to Hannah and a bag of cash for Bailey, and nothing else.  Desperate for answers, Hannah starts asking questions and digging into Owen;s past.  What she finds will change both her life and Hannah's forever.I received an advance copy of this book in exchange for his honest review.",Kept me reading all night,,One person found this helpful,,22,133,Public,665334
Bill Zahren,/gp/profile/amzn1.account.AFDFTJ3BAVWKRJGGYK5KQY2OMX5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 20, 2021",0,,1.0 out of 5 stars,"Bad. So slow. Clichéd characters: serial cheater married to a trophy wife, angsty16 year old you'll be sick of by page 75, successful artist protagonist with a history of abandonment who displays incredible, plucky courage, optimistic sidekick friend and more. We're told over and over and over and over that the dad loves his daughter even though we were clear on that after the first two dozen mentions. So many first-person I-did-this and I-thought-that constructions. I gave it 150 pages and then gave up.",Slow and clichéd,,2 people found this helpful,,101,125,Public,332287
Susan,/gp/profile/amzn1.account.AHYFHHEWH7JRPUYGNFQMSQR6HHFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 15, 2021",0,,5.0 out of 5 stars,"Owen Michaels didn’t let on the startup he worked for was under investigation, so his wife and daughter are stunned by his disappearance. He leaves Hannah, his wife, a short note, saying only “protect her.” He leaves his daughter, Bailey, a bag full of cash.Hannah knows he wants her protect Bailey, his daughter from a previous marriage. But as the accusations and number of people looking for Owen mount, Hannah begins her ow investigation. She soon learns that not only did she really know nothing about him, everything he told her was a lie.This book is full of twists and surprises. Although it’s primarily a suspense novel, it offers an important lesson on family and caring more about so,done you live than you care about yourself. #TheLastThingHeToldMe #NetGalley","Twisty, turny suspense",,One person found this helpful,,216,144,Public,21830
Kristen C,/gp/profile/amzn1.account.AGGZHSR7LXVDD5IV76BL6P774ZOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 6, 2021",0,,5.0 out of 5 stars,"Quite some time ago, I ran across a group on Facebook devoted to the Book of the Month Club’s books.  While I had a vague idea what the Book of the Month Club was all about, it was pretty vague.  This group talked about the five main picks every month like they were the greatest gift to readers everywhere.  My finances have been sorta sketchy for a while, so I would find out the main picks, then immediately go put a hold on them at my library’s website (and thank goodness for the library and ESPECIALLY their ebook access) and wait…and wait…and wait.  Turns out the BOTM books are really popular.  I grappled with myself for a while over whether it might be worth it to go ahead and join the club, that way I would not have to wait for ALL of the books and I would have an honest-to-goodness physical book in my grubby little hands.  I finally bit the bullet in February of 2021, figuring one book a month isn’t THAT expensive and I deserve that, right? I have to admit I completely regret joining.  I regret that I didn’t do it twenty years ago.  How did I miss this wonderfulness in a blue box once a month??  I regret that the club only allows a maximum of three books per membership (which, for almost every subscriber I know, is why they all have three different email addresses).  I have discovered authors I would have never run across without it and books I might have never picked up.  No, I do not work for BOTM, nor do I get paid to sing their praises, but I’ll do it anyway. This book is a prime example of why I am so glad I finally joined BOTM.  The beginning has a bit of a Sleepless in Seattle vibe, with a cross-country meet-cute including a single dad who lives on a house boat.  Hannah moves across the country with her furniture business to join her life to Owen and his daughter, Bailey.  Out of the blue, Owen disappears and Hannah receives a cryptic note to protect Bailey, and everything they knew is completely upended.  Hannah then discovers Owen really isn’t Owen, so she and Bailey set out on a mission to figure out what in the world is going on.  When they eventually find the answers, their world is a completely new landscape and Hannah has to make tough decisions without Owen’s guidance.  This book is so fast-paced, I reached the end without even realizing I was completely done with the book.  I felt like I had just run a NASCAR race in a convertible.  There were points that I felt my pulse racing and the hairs on the back of my neck turned into needles.  Laura Dave delivered an anxiety-filled thriller that I couldn’t put down.  It is one of the best I have read from one of my BOTM boxes.",Loved it,,,,18,107,Public,648319
Kindle Customer,/gp/profile/amzn1.account.AFDIBPSUFXES4LZT3LCLWCT7RXZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 10, 2021",0,,5.0 out of 5 stars,"Hannah Hall gets a note from her husband Owen- Protect her- in reference to his teenage daughter Bailey. Suddenly the startup company he worked for is under investigation, the FBI shows up, and he is nowhere to be seen. Hannah and Bailey realize that the revelations about his job are only the beginning of his secrets.It can be nerve wracking to try something new. Even during the pandemic, I’ve seen a lot of side projects and hairstyles that were bold but not necessarily successful. When I heard Laura Dave was writing a thriller, I tried to keep my expectations in check. Lucky for me and all of her fans, this book is such a delight!The pages flew by and I was able to read it within like a few hours! I was so interested in the evolving relationship between Bailey and Hannah. It really felt like we were watching them become a team in the best way.One of the terrific things about this book is that it continues the greatness of Laura Dave’s writing style. I am a huge fan of Eight Hundred Grapes. I wanted to live inside of that book. Laura Dave Characters are the kind I always miss! The Last Thing He Told Me made me cheer Hannah and Bailey on, which is not an easy feat because Bailey could have easily slid into bratty teenager stereotypes.  They are both just so complicated and fully realized that you cannot help but care about them. I would have read a hundred more pages at least about that story, and that is my only regret. I finished this dream of a summer read much too fast!Thanks to Simon & Schuster and NetGalley for the ARC!",Fast Fun Read!,,One person found this helpful,,30,87,Public,1273930
Jen N.,/gp/profile/amzn1.account.AEEGLK2GN7BCMGYGUR2IPKO4WE4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 6, 2021",0,,5.0 out of 5 stars,"The Last Thing He Told Me, by Laura Dave, starts with Hannah, a furniture maker/woodturner, recently married to Owen, single dad to teenager Bailey.  Hannah and Owen meet in New York, and begin a relationship, eventually leading to marriage and Hannah moving to Sausalito, CA to live with Owen and Bailey.  The relationship between Bailey and Hannah is strained, and Bailey wants nothing to do with Hannah.  This strained relationship is put to the test when Owen disappears, leaving both Hannah and Bailey cryptic notes.  All Hannah's note says is ""Protect Her"".  She assumes that the note means Bailey.The rest of the book is told alternating between the present, and the search for Owen, and the past.  First, the flashbacks are focused on the time Hannah and Owen spent dating, and then as the story progresses, stories that pertain to the drama that is building in their lives.  Law enforcement becomes involved, but Hannah does not entirely trust the investigators that are also trying to find Owen.  She and Bailey take off, on a hunch that the truth lies in Austin, Texas.  They hit the ground running, trying to find Owen on their own.The end of the book is surprising, and overall I really enjoyed reading this.  The plot was engaging, the writing style was easy to read, and the characters were relatable.  I have not read a book by Laura Dave before, but I would definitely check others out.  This is a domestic suspense book, and perfect for those who love the mystery genre, but with a mix of family dynamics and contentious relationships.  I loved the writing style, and would highly recommend this book!",Twisty and engaging!,,One person found this helpful,,31,63,Public,432362
Lindsey Rowe,/gp/profile/amzn1.account.AHZCDXDXCFEZ2P6BRJJY6OYSXDPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 5, 2021",0,,3.0 out of 5 stars,"Thank you to NetGalley, Edelweiss, and Simon & Schuster for the opportunity to read and review this book before it's publication date! This in no way affected my review, opinions are my own.So, wow. That was probably the most morally ambiguous book I've read in a good long while! To be fair, I don't read a lot of thrillers (so few that I don't even have it as a category on my personal book trackers!) so this could be a standby of the genre that I'm going to have to adjust to.I think the plot was effective and plausible, and as much of the characters as we get to know I enjoyed/felt invested in. The writing itself was good, although it felt quite choppy. (I'm not sure if there was more than 5 sentences with a comma in them.) It seemed like a lot of very short thoughts probably meant to propel the reader through the book, which to be fair was very effective as I finished it in less than a day.I'm not sure I agree with much of the character's decisions in this story, but it definitely gives you a lot to think about in terms of ""What would I do if I was put in this situation?""I quite literally have nothing to compare this to, so I'm not sure how it stacks up against others if you're big into the thriller genre. But I would recommend it to someone if they asked me what I thought, so take that how you will!",Solid Thriller!,,One person found this helpful,,100,168,Public,104847
JayDee,/gp/profile/amzn1.account.AF5D65UCPDYAXIEGUZABRN23FVDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 9, 2021",0,,5.0 out of 5 stars,"At first when Hannah can't reach her husband Owen on the phone, she doesn't worry, but keeps trying through the morning.  And leaves message after message.  Her teen step-daughter Bailey can't reach him either.  Then there is a knock at the door, and one of his students gives her a folded note from him that says only ""Protect her.""  Now she's not just worried, she's scared.  Bailey is the most important thing in Owen's life.  What could possibly keep him from being the one to protect her himself?Thus begins and intense and smoothly written thriller that asks the questions: How well do you really know your loved one?  How far can you trust them?  How far can they trust you?  How much are you willing to sacrifice for them?  How much are you willing to give up?  Hannah and Owen have only been married for a year, so their relationship is fairly new, and Bailey still looks on Hannah as an interloper, which make communication and trust serious issues at the beginning.  Watching them work this out while trying to figure out what is actually going on with Owen is fascinating and beautifully handled.  Their character development is outstanding and totally believable, a teenager and a new mom making it up for the first time in the middle of a crisis.  A great read that just goes whooshing by.My copy was an ARC from NetGalley",A great read that just goes whooshing by,,One person found this helpful,,42,101,Public,860739
Terrip,/gp/profile/amzn1.account.AF5NVZJ63Y3Y5NGPL37PTYBLGXFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 24, 2021",0,,5.0 out of 5 stars,"⭐️⭐️⭐️⭐️⭐️Wow. This book passed the lump-in-the-throat test. With flying colours.  Reading the last few pages, my emotional reaction was sudden and visceral and my head unmistakably fuzzy as I closed the book.Who do we really know for sure? How far are we willing to go to protect the ones we love?Hannah, a forty-ish artisan wood worker, is adjusting to her life with new husband Owen and her sullen sixteen year old stepdaughter Bailey, within the idyllic confines of their houseboat in Sausalito across the bay from San Francisco.Hannah, our narrator, is an unusual and very relatable character - emotionally scarred from her childhood, with the help of a beloved grandfather she has managed to shape the sum of her past into a kind of stoic even-footed resolve that is carrying her through adulthood. She’s strong, independent, yet also vulnerable and troubled by her failure to reach Bailey, who is (not too surprisingly) unwilling to embrace Hannah’s inclusion in what she sees as a firmly-closed-already-complete family unit.With the sudden disappearance of Owen, amidst a financial scandal and all the associated media frenzy, Hannah and Bailey are both thrown into upheaval, separate worlds imploding in a kind of unexpectedly shared and intimate crisis.“This is the terrible thing about a tragedy. It isn’t with you every minute. You forget it, and then you remember it again. And yet see it with a stark quality: This is what is required of you now, just to get along. “Desperate to find Owen and to understand his part in circumstances surrounding the disappearance, Hannah embarks on her own fact-finding mission, struggling to figure out just who her husband really is, or was; what secrets he may have been hiding; and how (or even, if) she can put the jaggedly newly acquired pieces back together to find the familiar core of the man she believes she loves.“In one way or another, this is the deal we all sign when we love someone. For better or worse.It’s the deal we have to sign again and again to keep that love. We don’t turn away from the parts of someone we don’t want to see. However quickly or long it takes to see them. We accept them if we are strong enough. Or we accept them enough to not let the bad parts become the entire story.”Aching with intensity, this is a terrific read which was impossible to put down, all the way up to it’s very neatly orchestrated conclusion, which hit all the right notes for me, and tied together the characters and story-line in a completely satisfying way. (And then again, there was also that indisputable lump.)A great big thank you to NetGalley, the publisher, and the author for an advance review copy of this wonderful book in exchange for an honest review. All thoughts provided are my own.",Impossible to put down,,One person found this helpful,,6,33,Public,3662709
Breakfastwrachel,/gp/profile/amzn1.account.AEI6BCDAO7MDZBHFHONFGUP7M5QA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 22, 2021",1,,5.0 out of 5 stars,"I had a strong feeling that this was going to be that book. You know the one where right from the start, the narrator has a rhythm that pulls you in. While you’re not sure if the storyteller is reliable or where the story is going, that’s all part of the intrigue. On the surface, things seem sweet, but there is an air of mystery....now, you’re hooked.The novel is an engrossing tale of suspense and family drama with female characters who are doing it for themselves. A gripping mystery about a woman who thinks she’s found the love of her life—until he disappears.",Best I’ve read in awhile for theillers,,2 people found this helpful,,39,143,Public,304397
CR MacGal,/gp/profile/amzn1.account.AFR7V5S2QZ46R3YB7T5SPMHMHKEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 10, 2021",0,,5.0 out of 5 stars,"Hannah married the love of her life, and now she’s living with him and his 16 year-old daughter in sunny California.  Things are pretty great, until the day her husband’s company is all over the news for suspicious/illegal activity, and he’s nowhere to be found.  When Hannah gets a note that says, “Protect her,” she realizes it’s her husband’s way of asking her to protect his daughter, but do to so, Hannah decides to go on a hunt for information that will change her life forever.  The last few books by Laura Dave haven’t been as good as her earlier work (in my opinion), but this one is really fantastic.  Fast-paced with intriguing storytelling, I read it in about two days.  If all of her books going forward are as good as this one, I think she’s going to garner an even bigger fan base.NOTE:  Special thanks to the publisher and NetGalley for allowing me to read this book in exchange for an honest review.",Women's Lit w/some Mystery - v good!,,One person found this helpful,,166,223,Public,128035
Jill B,/gp/profile/amzn1.account.AHXMYHPI2LLQVYHBYAXL7X76OYLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 17, 2021",0,,5.0 out of 5 stars,"A missing husband. A wife and stepdaughter left wondering.  Although the premise sounds typical this story is far from the normal domestic suspense novel.  It is literary fiction with a fresh look at truth, family and betrayal.  The choices we make on all those fronts. Living with those choices and the repercussions.  Hannah and Bailey  love Owen and and are beginning  their somewhat fractious journey as mother and stepdaughter when Owen disappears after a scandal at work.  This story is about Hannah and Bailey as they navigate the fallout and the search for the truth.  I was stunned by the writing, able to see each person in full color and understanding exactly why they made each decision.  The magical way Laura Dave weaves her words into a style that keeps you wanting to know more about those two women than the missing husband.  I absolutely loved these women.  I absolutely loved this book.",Believe what he says.,,One person found this helpful,,698,428,Public,6555
KathyG,/gp/profile/amzn1.account.AG53IGUORZWP7URBECOD2BIFLRTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 4, 2021",0,,5.0 out of 5 stars,"You kiss your husband goodbye for work and a couple hours  later a girl on a bike has a note for her.  The note is in Owen's (her husband) handwriting and says ""protect her"".  Then all hell breaks loose.  Bailey is Hannah's step-daughter and she assumes her husband wants her to protect her but she doesn't really understand from who.  When Bailey comes home from school with a duffel bag full of money and I mean FULL of money like $60,000 from her dad, Hannah realizes that something big is happening.  This suspense novel is very well written and the characters are well developed.  You root for them to find the answers to the questions they may not want answered. This book also piqued my interest in ""woodturning"" furniture.  I highly recommend putting this on your TBR shelf for May 4th.Thanks to #Simon&Schuster, #netgalley and @lauradaveauthor for an ARC of this great read.",Who are You??,,One person found this helpful,,27,109,Public,462923
She Treads Softly,/gp/profile/amzn1.account.AE24DDC3ZNXWJ6EA2H2HQLOYZRWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 4, 2021",0,,4.0 out of 5 stars,"The Last Thing He Told Me by Laura Dave is a highly recommended domestic thriller.Hannah Hall and Owen Michaels have been married for one year and they are happily living on a houseboat in Sausalito with Owen's sixteen-year-old daughter, Bailey. When Hannah receives a note from Owen saying simply ""Protect her,"" Hannah knows that something is wrong because Owen is devoted to his daughter and he is not answering his phone. Owen is a coder at The Shop, a tech firm, and Hannah hears on the news that his boss has just been arrested by the FBI. When Bailey finds a bag full of cash that Owen left in her locker at school, the two are even more flummoxed. Hannah and Bailey have had a rocky relationship, understandable for a new stepmother and a teenager, but they know Owen is a good man and they need to work together to find out what happened.When a US marshal and later federal agents arrive at their home, Hannah knows that something is seriously wrong. The US Marshall says Owen is not a suspect in the FBI investigation and he just wants to know Owen's whereabouts. She doesn't know who she can trust, so she contacts an old friend, a lawyer, who discovers that Owen isn't who he said he was. It is obvious that Hannah must try to work with Bailey to uncover what exactly is going on and who Owen - and Bailey - really are.Hannah is a well developed character while Bailey is less developed and portrayed more as a stereotypical teen with an attitude. They both have some advancement in their character development. Seeing Hannah and Bailey work together, learn to trust each other, and form an honest connection helps keep the plot interesting, especially when Bailey's early childhood memories lead them to Texas.The Last Thing He Told Me is well-written, although a little uneven in some sections. Chapters in the narrative follow the present day search for the truth and alternating chapters offer glimpses into the past relationship between Owen and Hannah. The past chapters provide insight into the current situation as well as providing some clues for Hannah and Bailey to follow. Hannah as a novice investigator is a bit less believable and the final denouement is a little improbable, but the lead up to it helps make it all work together to create an enjoyable novel with a touching final scene. This is a satisfying and effective domestic thriller that will hold your attention throughout.Disclosure: My review copy was courtesy of Simon & Schuster in exchange for my honest opinion.",highly recommended domestic thriller,,,,5174,1663,Public,1066
My 2 Cents,/gp/profile/amzn1.account.AHAR2ITQ3O2FJJDLIORAQ226KZHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 4, 2021",0,,4.0 out of 5 stars,"A suspenseful family drama that kept me quickly turning the pages.BRIEF REVIEW:  Hannah Hall has been married to Owen Michaels for one year. She loves her husband and is trying to be the best possible step-mom to his sixteen year old daughter Bailey, whose mother has died.  Hannah knows the pain of growing up without a mother - hers didn't die but,  she wasn't interested in mothering.  Fortunately, Hannah had an amazing grandfather who showed her plenty of love. He also taught her the fine art of woodturning, which results in unique pieces of very expensive furniture that she now creates and sells to wealthy clientele.  The couple along with Bailey live on a lovely houseboat in Sausalito, CA.One day Hannah is given a note which says: ""protect her.""  Little does she realize it just might be the last communication from Owen.  The same day Bailey comes home from school with a duffle bag and $600,000 cash that she claims she found in her locker.  Calls to Owen's cellphone go unanswered and the FBI has arrested the head of the big software start up company where Owen worked as a coder.  Where is Owen and why has he seemed to disappear off the face of the earth?As Hannah tries to ""protect"" Bailey she also determined not to sit and just wait for Owen to surface. She needs answers and soon begins to get some tips which lead her to believe Owen has not been completely honest with her and that she and Bailey may be in danger.The story is told from the POV of Hannah past and present. I loved her character and the way tried to gain Bailey's trust. She stepped up to the plate and did everything to protect her even though Bailey proved challenging at times.  I also liked that even though Owen disappears from the story early on, you really felt like you knew him and what his past was all about.  A tender, suspenseful character driven novel with some tense moments. I found the ending satisfying even though I was hoping for a bit more.  I love the way Laura Dave writes and I've enjoyed several of her earlier books as well.  BTW - I read Julia Roberts will be starring and producing a limited series by the same title for Apple TV.",suspenseful and well written,,,,5768,2899,Public,7484
